A,B,C,D,E,F,G
1.5,2.07,2.0,2.0,2.0,2.0,2.0
1.51,2.05,2.0,2.0,2.0,2.0,2.0
1.52,2.09,2.0,2.0,2.0,2.0,2.0
1.53,2.02,2.0,2.0,2.0,2.0,2.0
1.54,2.09,2.0,2.0,2.0,2.0,2.0
1.55,2.09,2.0,2.0,2.0,2.0,2.0
1.56,2.08,2.0,2.0,2.0,2.0,2.0
1.57,2.07,2.0,2.0,2.0,2.0,2.0
1.58,2.11,2.0,2.0,2.0,2.0,2.0
1.59,2.06,2.0,2.0,2.0,2.0,2.0
1.6,2.08,2.0,2.0,2.0,2.0,2.0
1.61,2.12,2.0,2.0,2.0,2.0,2.0
1.62,2.08,2.0,2.0,2.0,2.0,2.0
1.63,2.08,2.0,2.0,2.0,2.0,2.0
1.64,2.08,2.0,2.0,2.0,2.0,2.0
1.65,2.1,2.0,2.0,2.0,2.0,2.0
1.66,2.15,2.0,2.0,2.0,2.0,2.0
1.67,2.12,2.0,2.0,2.0,2.0,2.0
1.68,2.28,2.0,2.0,2.0,2.0,2.0
1.69,2.14,2.0,2.0,2.0,2.0,2.0
1.7,2.23,2.0,2.0,2.0,2.0,2.0
1.71,2.36,2.0,2.0,2.0,2.0,2.0
1.72,2.33,2.0,2.0,2.0,2.0,2.0
1.73,2.44,2.0,2.0,2.0,2.0,2.0
1.74,2.48,2.0,2.0,2.0,2.0,2.0
1.75,2.53,2.0,2.0,2.0,2.0,2.0
1.76,2.58,2.0,2.0,2.0,2.0,2.0
1.77,2.68,2.0,2.0,2.0,2.0,2.0
1.78,2.77,2.0,2.0,2.0,2.0,2.0
1.79,2.71,2.0,2.0,2.0,2.0,2.0
1.8,2.91,2.0,2.0,2.0,2.0,2.0
1.81,2.93,2.0,2.0,2.0,2.0,2.0
1.82,2.96,2.0,2.0,2.0,2.0,2.0
1.83,3.0,2.0,2.0,2.0,2.0,2.0
1.84,2.98,2.0,2.0,2.0,2.0,2.0
1.85,3.01,2.0,2.0,2.0,2.0,2.0
1.86,3.0,2.0,2.0,2.0,2.0,2.0
1.87,3.05,2.0,2.0,2.0,2.0,2.0
1.88,3.04,2.0,2.0,2.0,2.01,2.0
1.89,3.06,2.0,2.01,2.01,2.01,2.0
1.9,3.02,2.0,2.0,2.01,2.0,2.01
