A,B
1.5,212.62672194490997
1.51,215.07124022566998
1.52,213.09706909891997
1.53,212.38040076304998
1.54,215.04590048013
1.55,214.90754874190003
1.56,214.33944714696005
1.57,214.69464027635001
1.58,215.16483990314995
1.59,213.22186478364
1.6,212.16150893274
1.61,213.98470291062003
1.62,214.82957586595
1.63,216.07004464910997
1.64,214.03748649762997
1.65,214.10578500061
1.66,214.25979424753
1.67,213.68415235319
1.68,214.28233886910002
1.69,213.90264007022998
1.7,212.90820536752
1.71,212.50213971125
1.72,214.92998609968998
1.73,212.64561046343002
1.74,211.94924540652994
1.75,216.37829191979
1.76,214.27863750261
1.77,214.27426771813
1.78,213.71207694385998
1.79,213.04060984289998
1.8,210.27685430813995
1.81,210.18174048462998
1.82,212.51490912942998
1.83,212.09221847279005
1.84,212.38616278964997
1.85,212.51685214826998
1.86,210.62533989384997
1.87,210.23203182888
1.88,211.00923416971
1.89,212.53191285769
1.9,215.98937590359
1.91,214.98617139598002
1.92,213.61588756713002
1.93,212.45350631353998
1.94,215.39007229747997
1.95,213.34191320165002
1.96,212.29211948457998
1.97,215.94125240761997
1.98,214.84660529266995
1.99,214.88066316836
2.0,215.10238988585002
2.01,215.37942061138997
2.02,214.44044601729001
2.03,215.87048352252998
2.04,216.49073963034
2.05,215.92273251426
2.06,214.8659048771
2.07,212.48248191985
2.08,211.52132373730998
2.09,212.95647418249
2.1,212.35180089611
2.11,212.98190409225998
2.12,212.99911355278005
2.13,213.63396581694005
2.14,215.44369932881
2.15,214.28763884527
2.16,215.13906134812999
