A,B,C,D,E,F,G
1.5,2.16,2.0,2.0,2.0,2.0,2.0
1.51,2.12,2.0,2.0,2.0,2.0,2.0
1.52,2.08,2.0,2.0,2.0,2.0,2.0
1.53,2.08,2.0,2.0,2.0,2.0,2.0
1.54,2.08,2.0,2.0,2.0,2.0,2.0
1.55,2.11,2.0,2.0,2.0,2.0,2.0
1.56,2.07,2.0,2.0,2.0,2.0,2.0
1.57,2.13,2.0,2.0,2.0,2.0,2.0
1.58,2.07,2.0,2.0,2.0,2.0,2.0
1.59,2.09,2.0,2.0,2.0,2.0,2.0
1.6,2.12,2.0,2.0,2.0,2.0,2.0
1.61,2.16,2.0,2.0,2.0,2.0,2.0
1.62,2.13,2.0,2.0,2.0,2.0,2.0
1.63,2.11,2.0,2.0,2.0,2.0,2.0
1.64,2.16,2.0,2.0,2.0,2.0,2.0
1.65,2.16,2.0,2.0,2.0,2.0,2.0
1.66,2.15,2.0,2.0,2.0,2.0,2.0
1.67,2.24,2.0,2.0,2.0,2.0,2.0
1.68,2.21,2.0,2.0,2.0,2.0,2.0
1.69,2.22,2.0,2.0,2.0,2.0,2.0
1.7,2.28,2.0,2.0,2.0,2.0,2.0
1.71,2.29,2.0,2.0,2.0,2.0,2.0
1.72,2.29,2.0,2.0,2.0,2.0,2.0
1.73,2.38,2.0,2.0,2.0,2.0,2.0
1.74,2.53,2.0,2.0,2.0,2.0,2.0
1.75,2.61,2.0,2.0,2.0,2.0,2.0
1.76,2.57,2.0,2.0,2.0,2.0,2.0
1.77,2.71,2.0,2.0,2.0,2.0,2.0
1.78,2.83,2.0,2.0,2.0,2.0,2.0
1.79,2.84,2.0,2.0,2.0,2.0,2.0
1.8,2.82,2.0,2.0,2.0,2.0,2.0
1.81,2.82,2.0,2.0,2.0,2.0,2.0
1.82,2.92,2.0,2.0,2.0,2.0,2.0
1.83,2.96,2.0,2.0,2.0,2.0,2.0
1.84,3.0,2.0,2.0,2.0,2.0,2.0
1.85,3.04,2.0,2.0,2.0,2.0,2.0
1.86,3.03,2.0,2.0,2.0,2.0,2.0
