A,B,C,D,E,F,G
1.5,0.84,1.0,1.0,1.0,1.0,1.0
1.51,0.88,1.0,1.0,1.0,1.0,1.0
1.52,0.92,1.0,1.0,1.0,1.0,1.0
1.53,0.92,1.0,1.0,1.0,1.0,1.0
1.54,0.92,1.0,1.0,1.0,1.0,1.0
1.55,0.89,1.0,1.0,1.0,1.0,1.0
1.56,0.93,1.0,1.0,1.0,1.0,1.0
1.57,0.87,1.0,1.0,1.0,1.0,1.0
1.58,0.93,1.0,1.0,1.0,1.0,1.0
1.59,0.91,1.0,1.0,1.0,1.0,1.0
1.6,0.88,1.0,1.0,1.0,1.0,1.0
1.61,0.84,1.0,1.0,1.0,1.0,1.0
1.62,0.87,1.0,1.0,1.0,1.0,1.0
1.63,0.89,1.0,1.0,1.0,1.0,1.0
1.64,0.84,1.0,1.0,1.0,1.0,1.0
1.65,0.84,1.0,1.0,1.0,1.0,1.0
1.66,0.85,1.0,1.0,1.0,1.0,1.0
1.67,0.76,1.0,1.0,1.0,1.0,1.0
1.68,0.79,1.0,1.0,1.0,1.0,1.0
1.69,0.78,1.0,1.0,1.0,1.0,1.0
1.7,0.72,1.0,1.0,1.0,1.0,1.0
1.71,0.29,0.0,0.0,0.0,0.0,0.0
1.72,0.27,0.0,0.0,0.0,0.0,0.0
1.73,0.36,0.0,0.0,0.0,0.0,0.0
1.74,0.53,0.0,0.0,0.0,0.0,0.0
1.75,0.59,0.0,0.0,0.0,0.0,0.0
1.76,0.57,0.0,0.0,0.0,0.0,0.0
1.77,0.69,0.0,0.0,0.0,0.0,0.0
1.78,0.75,0.0,0.0,0.0,0.0,0.0
1.79,0.8,0.0,0.0,0.0,0.0,0.0
1.8,0.78,0.0,0.0,0.0,0.0,0.0
1.81,0.82,0.0,0.0,0.0,0.0,0.0
1.82,0.82,0.0,0.0,0.0,0.0,0.0
1.83,0.94,0.0,0.0,0.0,0.0,0.0
1.84,0.96,0.0,0.0,0.0,0.0,0.0
1.85,0.94,0.0,0.0,0.0,0.0,0.0
1.86,0.95,0.0,0.0,0.0,0.0,0.0
1.87,0.96,0.0,0.0,0.0,0.01,0.0
1.88,0.98,0.0,0.0,0.0,0.0,0.0
1.89,0.95,0.0,0.0,0.01,0.0,0.0
1.9,0.93,0.0,0.01,0.01,0.0,0.02
1.91,0.96,0.0,0.01,0.02,0.01,0.01
1.92,0.97,0.0,0.02,0.01,0.02,0.0
