A,B,C,D,E,F,G
1.5,2.04,2.0,2.0,2.0,2.0,2.0
1.51,2.13,2.0,2.0,2.0,2.0,2.0
1.52,2.07,2.0,2.0,2.0,2.0,2.0
1.53,2.07,2.0,2.0,2.0,2.0,2.0
1.54,2.04,2.0,2.0,2.0,2.0,2.0
1.55,2.09,2.0,2.0,2.0,2.0,2.0
1.56,2.11,2.0,2.0,2.0,2.0,2.0
1.57,2.05,2.0,2.0,2.0,2.0,2.0
1.58,2.1,2.0,2.0,2.0,2.0,2.0
1.59,2.06,2.0,2.0,2.0,2.0,2.0
1.6,2.06,2.0,2.0,2.0,2.0,2.0
1.61,2.06,2.0,2.0,2.0,2.0,2.0
1.62,2.12,2.0,2.0,2.0,2.0,2.0
1.63,2.12,2.0,2.0,2.0,2.0,2.0
1.64,2.06,2.0,2.0,2.0,2.0,2.0
1.65,2.14,2.0,2.0,2.0,2.0,2.0
1.66,2.08,2.0,2.0,2.0,2.0,2.0
1.67,2.15,2.0,2.0,2.0,2.0,2.0
1.68,2.19,2.0,2.0,2.0,2.0,2.0
1.69,2.24,2.0,2.0,2.0,2.0,2.0
1.7,2.22,2.0,2.0,2.0,2.0,2.0
1.71,2.21,2.0,2.0,2.0,2.0,2.0
1.72,2.24,2.0,2.0,2.0,2.0,2.0
1.73,2.3,2.0,2.0,2.0,2.0,2.0
1.74,2.39,2.0,2.0,2.0,2.0,2.0
1.75,2.47,2.0,2.0,2.0,2.0,2.0
1.76,2.54,2.0,2.0,2.0,2.0,2.0
1.77,2.62,2.0,2.0,2.0,2.0,2.0
1.78,2.72,2.0,2.0,2.0,2.0,2.0
1.79,2.78,2.0,2.0,2.0,2.0,2.0
1.8,2.85,2.0,2.0,2.0,2.0,2.0
1.81,2.93,2.0,2.0,2.0,2.0,2.0
1.82,2.98,2.0,2.0,2.0,2.0,2.0
1.83,2.97,2.0,2.0,2.0,2.0,2.0
1.84,3.0,2.0,2.0,2.0,2.0,2.0
1.85,3.02,2.0,2.0,2.0,2.0,2.0
1.86,3.02,2.0,2.0,2.0,2.0,2.0
1.87,3.06,2.0,2.0,2.0,2.0,2.0
1.88,3.04,2.0,2.01,2.01,2.0,2.0
1.89,3.03,2.0,2.0,2.0,2.0,2.02
1.9,3.05,2.0,2.0,2.0,2.01,2.01
1.91,3.02,2.0,2.0,2.0,2.01,2.01
1.92,3.0,2.0,2.03,2.0,2.04,2.0
1.93,3.04,2.0,2.01,2.03,2.01,2.01
1.94,3.0,2.0,2.01,2.02,2.03,2.01
1.95,3.02,2.0,2.06,2.05,2.08,2.06
1.96,3.04,2.0,2.08,2.07,2.07,2.05
1.97,3.03,2.0,2.11,2.16,2.17,2.11
1.98,3.0,2.0,2.18,2.2,2.16,2.25
1.99,3.05,2.0,2.16,2.16,2.17,2.2
2.0,3.01,2.0,2.32,2.28,2.22,2.26
2.01,3.01,2.0,2.32,2.24,2.35,2.28
2.02,3.02,2.0,2.47,2.45,2.49,2.43
2.03,3.04,2.0,2.52,2.47,2.52,2.51
2.04,3.03,2.0,2.52,2.51,2.56,2.57
2.05,3.03,2.0,2.64,2.65,2.57,2.65
2.06,3.04,2.0,2.73,2.75,2.67,2.79
