A,B
1.5,277.53292346433
1.51,279.05788482031
1.52,285.2826974471499
1.53,263.82477109334
1.54,278.5849355642
1.55,282.16528522728
1.56,285.79832078887995
1.57,286.86615112068
1.58,285.45356824909
1.59,291.13388716702
1.6,283.36755427113
1.61,285.23795194198004
1.62,286.20741022513
1.63,284.80583857254004
1.64,353.05518904047005
1.65,360.13775068598994
1.66,332.9316493087
1.67,337.96806591063
1.68,337.82691167979
1.69,334.29566852373006
1.7,366.4100868301599
1.71,369.49432669159995
1.72,360.68972525211996
1.73,337.00386128865
1.74,385.25211402601
1.75,335.02503574019
1.76,336.96015350605006
1.77,379.47770152905
1.78,336.70614468479994
1.79,371.51823433318003
1.8,374.41352720084
1.81,335.46916392705003
1.82,339.02233374708
1.83,338.41536988812004
1.84,336.81587896515
1.85,315.02454401834996
1.86,372.93030435598007
1.87,278.22724900552
1.88,282.93291834415004
1.89,282.06962714797
1.9,281.07513674995994
1.91,286.0066243601
1.92,279.11033476498005
1.93,283.91167304281
1.94,284.121664476
1.95,286.61841415135007
1.96,283.44095635226995
1.97,287.59142084724004
1.98,281.72994400103
1.99,283.17155047575
2.0,285.90940871605
2.01,286.56158209156
2.02,283.55854728218003
2.03,283.82914779348
2.04,284.1252844859
2.05,319.97441502178003
