A,B,C,D,E,F,G
1.5,0.96,1.0,1.0,1.0,1.0,1.0
1.51,0.87,1.0,1.0,1.0,1.0,1.0
1.52,0.93,1.0,1.0,1.0,1.0,1.0
1.53,0.93,1.0,1.0,1.0,1.0,1.0
1.54,0.96,1.0,1.0,1.0,1.0,1.0
1.55,0.91,1.0,1.0,1.0,1.0,1.0
1.56,0.89,1.0,1.0,1.0,1.0,1.0
1.57,0.95,1.0,1.0,1.0,1.0,1.0
1.58,0.9,1.0,1.0,1.0,1.0,1.0
1.59,0.94,1.0,1.0,1.0,1.0,1.0
1.6,0.94,1.0,1.0,1.0,1.0,1.0
1.61,0.94,1.0,1.0,1.0,1.0,1.0
1.62,0.88,1.0,1.0,1.0,1.0,1.0
1.63,0.89,1.0,1.0,1.0,1.0,1.0
1.64,0.94,1.0,1.0,1.0,1.0,1.0
1.65,0.86,1.0,1.0,1.0,1.0,1.0
1.66,0.92,1.0,1.0,1.0,1.0,1.0
1.67,0.85,1.0,1.0,1.0,1.0,1.0
1.68,0.81,1.0,1.0,1.0,1.0,1.0
1.69,0.76,1.0,1.0,1.0,1.0,1.0
1.7,0.78,1.0,1.0,1.0,1.0,1.0
1.71,0.19,0.0,0.0,0.0,0.0,0.0
1.72,0.24,0.0,0.0,0.0,0.0,0.0
1.73,0.3,0.0,0.0,0.0,0.0,0.0
1.74,0.39,0.0,0.0,0.0,0.0,0.0
1.75,0.45,0.0,0.0,0.0,0.0,0.0
1.76,0.54,0.0,0.0,0.0,0.0,0.0
1.77,0.6,0.0,0.0,0.0,0.0,0.0
1.78,0.66,0.0,0.0,0.0,0.0,0.0
1.79,0.72,0.0,0.0,0.0,0.0,0.0
1.8,0.85,0.0,0.0,0.0,0.0,0.0
1.81,0.85,0.0,0.0,0.0,0.0,0.0
1.82,0.92,0.0,0.0,0.0,0.0,0.0
1.83,0.97,0.0,0.0,0.0,0.0,0.0
1.84,0.96,0.0,0.0,0.0,0.0,0.0
1.85,0.98,0.0,0.0,0.0,0.0,0.0
1.86,0.96,0.0,0.0,0.0,0.0,0.0
1.87,0.94,0.0,0.0,0.0,0.0,0.0
1.88,0.96,0.0,0.01,0.01,0.0,0.0
1.89,0.97,0.0,0.0,0.0,0.0,0.02
1.9,0.95,0.0,0.0,0.0,0.01,0.01
1.91,0.98,0.0,0.0,0.0,0.01,0.01
1.92,1.0,0.0,0.03,0.0,0.04,0.0
1.93,0.96,0.0,0.01,0.03,0.01,0.01
1.94,1.0,0.0,0.01,0.02,0.03,0.01
1.95,0.98,0.0,0.06,0.05,0.08,0.06
1.96,0.96,0.0,0.08,0.07,0.07,0.05
1.97,0.97,0.0,0.11,0.16,0.17,0.11
1.98,1.0,0.0,0.18,0.2,0.16,0.25
1.99,0.95,0.0,0.16,0.16,0.17,0.2
2.0,0.99,0.0,0.32,0.28,0.22,0.26
2.01,0.99,0.0,0.32,0.24,0.35,0.28
2.02,0.98,0.0,0.47,0.45,0.49,0.43
2.03,0.96,0.0,0.52,0.47,0.52,0.51
2.04,0.97,0.0,0.52,0.51,0.56,0.57
2.05,0.97,0.0,0.64,0.65,0.57,0.65
2.06,0.96,0.0,0.73,0.75,0.67,0.79
