A,B,C,D,E,F,G
1.5,277.5333967839501,277.53517074999,1.63353308637,82.10113836811999,164.83927343580996,310.44347800525
1.51,279.05803676995004,279.06105482770005,1.6574438208500004,84.13142110684997,164.3148760405901,307.10796975516007
1.52,285.28339762265,285.28568025615,1.6817702106100003,82.78742605153998,163.97455140685,308.3111720411299
1.53,263.83718135825995,263.8592832333599,1.987979934279999,104.32381354340004,167.92737130087994,290.05842545296014
1.54,278.58521551523,278.5863364544401,1.7106482901900002,83.60876786629998,165.95573435554007,306.9562953021501
1.55,282.16594665177996,282.16755286317994,1.76711287824,83.03787518408002,164.00206803485003,310.9706719307299
1.56,285.79846559235,285.7996444655101,1.69245100283,82.88741446863,163.44054621613998,308.79273003266
1.57,286.86689692527,286.86779785935005,1.6854354255500001,83.04970192150002,164.19721560474997,307.3463329813199
1.58,285.45370919279003,285.45611122515993,1.7128130778200008,83.30066011839996,165.62097948723004,306.02376204496
1.59,291.1348615765599,291.13582352262,1.7605431316999998,83.29019747773003,164.21044656894995,305.5153147357099
1.6,283.36818246390004,283.36906700394,1.67341801139,84.20485940283001,163.92546748286995,307.18445921112993
1.61,285.23851468460003,285.23964026139015,1.7291852797999996,82.15693819039,166.37643334150002,306.36719314102004
1.62,286.20756494395994,286.20950227808,1.7335415628099997,83.09912391354003,163.98570407572998,306.4796405266201
1.63,284.8059833796899,284.8083002903499,1.6625027150900002,82.80852906152,163.65441919229994,309.6966073501099
1.64,353.0562115431101,353.0573363648,2.1665902492700004,103.45348140393004,202.22490107810995,288.6908789210299
