A,B,C,D,E,F,G
1.5,2.06,2.0,2.04,2.02,2.05,2.03
1.51,2.12,2.0,2.07,2.05,2.03,2.05
1.52,2.07,2.0,2.04,2.07,2.06,2.11
1.53,2.13,2.0,2.06,2.03,2.06,2.07
1.54,2.11,2.0,2.02,2.04,2.06,2.06
1.55,2.09,2.0,2.08,2.03,2.03,2.04
1.56,2.05,2.0,2.1,2.03,2.02,2.03
1.57,2.16,2.0,2.11,2.04,2.05,2.03
1.58,2.11,2.0,2.03,2.02,2.04,2.04
1.59,2.14,2.0,2.04,2.08,2.06,2.06
1.6,2.12,2.0,2.03,2.04,2.04,2.04
1.61,2.14,2.0,2.06,2.02,2.03,2.06
1.62,2.09,2.0,2.08,2.01,2.03,2.03
1.63,2.09,2.0,2.06,2.05,2.02,2.07
1.64,2.12,2.0,2.08,2.02,2.09,2.06
1.65,2.17,2.0,2.05,2.05,2.04,2.07
1.66,2.18,2.0,2.08,2.05,2.04,2.06
1.67,2.16,2.0,2.07,2.06,2.03,2.02
1.68,2.17,2.0,2.04,2.05,2.04,2.01
1.69,2.24,2.0,2.05,2.02,2.03,2.04
1.7,2.27,2.0,2.07,2.04,2.05,2.06
1.71,2.25,2.0,2.04,2.05,2.06,2.05
1.72,2.32,2.0,2.05,2.03,2.04,2.1
1.73,2.34,2.0,2.02,2.09,2.06,2.05
1.74,2.44,2.0,2.1,2.03,2.08,2.06
1.75,2.57,2.0,2.06,2.04,2.04,2.06
1.76,2.6,2.0,2.09,2.09,2.04,2.05
1.77,2.72,2.0,2.05,2.02,2.05,2.04
1.78,2.75,2.0,2.06,2.06,2.04,2.02
1.79,2.84,2.0,2.04,2.04,2.04,2.05
1.8,2.92,2.0,2.11,2.08,2.03,2.04
1.81,2.94,2.0,2.09,2.03,2.04,2.07
1.82,2.98,2.0,2.1,2.08,2.03,2.06
1.83,2.97,2.0,2.04,2.07,2.07,2.06
1.84,3.02,2.0,2.09,2.1,2.01,2.07
1.85,3.02,2.0,2.1,2.08,2.09,2.07
1.86,3.03,2.0,2.18,2.13,2.15,2.18
1.87,3.02,2.0,2.16,2.15,2.13,2.15
1.88,3.04,2.0,2.19,2.26,2.25,2.21
1.89,3.05,2.0,2.29,2.23,2.26,2.22
1.9,3.06,2.0,2.35,2.24,2.28,2.29
1.91,3.01,2.0,2.38,2.37,2.34,2.34
1.92,3.04,2.0,2.38,2.44,2.52,2.53
1.93,3.08,2.0,2.43,2.47,2.43,2.41
1.94,3.05,2.0,2.59,2.58,2.62,2.61
1.95,3.01,2.0,2.7,2.67,2.64,2.62
1.96,3.05,2.0,2.66,2.74,2.77,2.75
1.97,3.04,2.0,2.76,2.86,2.77,2.73
1.98,3.08,2.0,2.82,2.81,2.83,2.9
1.99,3.04,2.0,2.81,2.88,2.93,2.87
2.0,3.07,2.0,2.92,2.94,2.94,2.92
2.01,3.05,2.0,2.97,3.01,3.0,2.97
2.02,3.04,2.0,2.97,2.95,3.02,2.96
