A,B
1.5,84.72240885236
1.51,81.09677236709001
1.52,80.38525579709
1.53,81.99258066086999
1.54,79.46448497492999
1.55,80.63075905730999
1.56,84.4116390354
1.57,81.37022900226
1.58,80.79528800217
1.59,80.56205088979999
1.6,80.3933004262
1.61,85.40206336378
1.62,84.72122710542
1.63,83.23400259046001
1.64,82.85124813012999
1.65,85.05147981790998
1.66,86.12012243561999
1.67,83.27311524331
1.68,85.66311998163
1.69,82.81389052484
1.7,86.76792220092
1.71,82.94609518547999
1.72,85.67669850559001
1.73,86.44549957017
1.74,84.91231555913002
1.75,86.15098672665
1.76,84.22541136288001
1.77,79.92987447267001
1.78,86.50933178752001
1.79,85.0830835483
1.8,85.09447269352
1.81,86.11000658109
1.82,87.88852345609001
1.83,85.68044335998
1.84,84.05607309591001
1.85,85.83147076077
1.86,86.66407062938998
1.87,85.99855425482998
1.88,86.60975830010999
1.89,82.53115000533
1.9,81.4582354269
1.91,79.93354457269
1.92,78.87648463214
1.93,80.29157595080001
1.94,81.05204610764
1.95,82.7120305941
1.96,83.29309304603
1.97,79.93568169532001
1.98,78.72374650065
1.99,83.04772238177999
2.0,81.93968903649
2.01,79.50241908234
2.02,80.06863290326999
2.03,82.9737902963
2.04,79.94053817194002
2.05,81.62954572237001
2.06,79.99835223589999
2.07,79.47718215404
2.08,80.01684016059002
2.09,80.10423809491
2.1,79.64867701015
2.11,80.13401514238
2.12,80.01139617756
2.13,80.03403246097
2.14,80.8485598528
2.15,82.67669419926
2.16,81.1417013108
